> -L"Dykes"
-37.6742374202	-11.0452041599
-37.6243381716	-11.086701347
-37.6174413253	-11.0991156516
> -L"Dykes"
-37.8044960483	-11.0875171025
-37.7711834607	-11.1113117755
-37.7473887527	-11.1351064517
-37.721214571	-11.1684190009
> -L"Dykes"
-37.6831430545	-11.1636600504
-37.6236562663	-11.2683566411
> -L"Dykes"
-40.0095120972	-11.6511553991
-40.0007574471	-11.5154576657
> -L"Dykes"
-40.0358462922	-11.7359106452
-40.0605700956	-11.708495045
> -L"Dykes"
-39.9741650805	-11.8042358879
-40.0358462922	-11.7359106452
> -L"Dykes"
-38.9676330716	-11.8746731498
-38.9918616963	-11.8348690371
-39.0332703938	-11.790524152
> -L"Dykes"
-39.9299705243	-11.9396372446
-39.9620474233	-11.82460307
> -L"Dykes"
-43.0523956282	-12.088912583
-43.0513828431	-12.0850457475
-43.0474945281	-12.0722143013
-43.041273221	-12.0628823396
-43.0362184093	-12.0543280415
-43.0307747657	-12.0457737433
-43.0226092987	-12.038774771
-43.0128885043	-12.0313869667
-43.0058895318	-12.0278874798
> -L"Dykes"
-43.0603259668	-12.1165411151
-43.0556599888	-12.1013766787
-43.0523956282	-12.088912583
> -L"Dykes"
-43.0443838384	-12.1939186131
-43.0455503365	-12.184975485
-43.047105668	-12.1709775453
-43.0474945035	-12.1581461003
-43.0451615162	-12.1449258229
-43.0424396959	-12.1352050304
-43.0389402117	-12.1266507328
-43.0378296944	-12.1268021854
> -L"Dykes"
-43.0378296944	-12.1268021854
-43.0303859104	-12.1278172255
-43.0191097845	-12.1348161924
-43.0074448268	-12.1414263277
-42.9985016915	-12.149980622
-42.9880032291	-12.1577572525
-42.9720611205	-12.1659227132
-42.9642844766	-12.1888637795
-42.9619514773	-12.2168596591
-42.9565078239	-12.2421337161
> -L"Dykes"
-41.4963596857	-12.229915787
-41.5212296759	-12.2135801161
> -L"Dykes"
-41.4448868017	-12.2637007131
-41.4963596857	-12.229915787
> -L"Dykes"
-42.9565078239	-12.2421337161
-42.9508697607	-12.2464108629
-42.9462037756	-12.2557428217
-42.9399824636	-12.2635194533
-42.9314281632	-12.2615752926
-42.9271510131	-12.2604087964
-42.9197632047	-12.2709072495
-42.9127642265	-12.2868493459
-42.9092647352	-12.3024026117
-42.9084870675	-12.3156228883
-42.9115977161	-12.3370086309
-42.9119865442	-12.3498400761
> -L"Dykes"
-41.4018446473	-12.2919264459
-41.4448868017	-12.2637007131
> -L"Dykes"
-41.4171091869	-12.3786823987
-41.4162220133	-12.4508392604
> -L"Dykes"
-41.4162220133	-12.4508392604
-41.4159010111	-12.4765419159
> -L"Dykes"
-42.115733585	-12.5703692822
-42.1423076415	-12.6123283264
-42.1618885222	-12.652888734
> -L"Dykes"
-42.9049875308	-12.4839869999
-42.9034322007	-12.4929301279
-42.9010992068	-12.5018732556
-42.8972108848	-12.5131493729
-42.8956555547	-12.5220925009
-42.8886565766	-12.537256934
-42.8839905875	-12.5594203378
-42.8742697838	-12.5831390668
-42.8662987235	-12.6064689647
-42.8612439055	-12.6189115766
-42.8581332455	-12.6356313375
-42.8519119304	-12.6527399292
-42.8468571117	-12.6675155311
-42.8414134627	-12.6768474896
-42.837136309	-12.6873459434
> -L"Dykes"
-38.9336085811	-12.5814252731
-38.9783576828	-12.5386252449
> -L"Dykes"
-38.9783576828	-12.5386252449
-39.0073072513	-12.5145770391
-39.0137552711	-12.5076132592
> -L"Dykes"
-42.2066454159	-12.7517061084
-42.2066448218	-12.7424013583
-42.1867438065	-12.6919451597
> -L"Dykes"
-42.2066448072	-12.7871576636
-42.2066454159	-12.7517061084
> -L"Dykes"
-42.2723806673	-12.7801645109
-42.2569956684	-12.8137317353
-42.2324865264	-12.8436613065
-42.1954556921	-12.8878593473
> -L"Dykes"
-42.7356290538	-13.0531195604
-42.7347556982	-13.061853084
-42.7335329994	-13.077049415
-42.7312622768	-13.0934684391
-42.7288168825	-13.1133808726
-42.7237514295	-13.1338173168
-42.7195593319	-13.1462189193
-42.7172886123	-13.1533804081
> -L"Dykes"
-41.3191351855	-13.1911981599
-41.3644988713	-13.1781790411
-41.4428829494	-13.1425441562
> -L"Dykes"
-41.2936516723	-13.1985057968
-41.3191351855	-13.1911981599
> -L"Dykes"
-40.981882635	-13.3466708027
-41.0525284109	-13.2861173583
> -L"Dykes"
-41.017348514	-13.4305794808
-41.1485478089	-13.327638629
> -L"Dykes"
-41.6503712732	-13.5413918246
-41.6783871032	-13.5049712921
-41.770839326	-13.4293286588
> -L"Dykes"
-39.4541249023	-13.6536382868
-39.5720016624	-13.7646216926
> -L"Dykes"
-40.8281485161	-13.9602516801
-40.8771345852	-13.9027953891
> -L"Dykes"
-40.7970022909	-13.9967448481
-40.8281485161	-13.9602516801
> -L"Dykes"
-40.7958886773	-13.9980490825
-40.7970022909	-13.9967448481
> -L"Dykes"
-40.8582028424	-14.1644804485
-40.8582093201	-14.2204853933
> -L"Dykes"
-41.3770756054	-14.2551040958
-41.4032662003	-14.2238932407
> -L"Dykes"
-40.8582093201	-14.2216183529
-40.858207842	-14.2480871095
> -L"Dykes"
-41.7366198454	-14.2904999927
-41.7134736683	-14.2968902147
> -L"Dykes"
-41.7134736683	-14.2968902147
-41.663479695	-14.3106802264
> -L"Dykes"
-41.3430943914	-14.2955667067
-41.3770756054	-14.2551040958
> -L"Dykes"
-41.663479695	-14.3106802264
-41.6486243386	-14.3147745677
> -L"Dykes"
-40.858207842	-14.2480871095
-40.8582027964	-14.2778294751
> -L"Dykes"
-41.8224002634	-14.3436459238
-41.9009047771	-14.2651415117
> -L"Dykes"
-41.2702076906	-14.3822326531
-41.3430943914	-14.2955667067
> -L"Dykes"
-41.3407286547	-14.4154972715
-41.3508652665	-14.4219711684
> -L"Dykes"
-41.6467630724	-14.4474313913
-41.7053088121	-14.3888857288
> -L"Dykes"
-41.3508652665	-14.4219711684
-41.4511671386	-14.4860182482
> -L"Dykes"
-39.8181883447	-14.670785444
-39.8522397589	-14.574822563
> -L"Dykes"
-39.5055348162	-14.7357924358
-39.431240917	-14.7326968272
> -L"Dykes"
-39.3810437296	-14.7569019205
-39.4063772902	-14.7305880677
> -L"Dykes"
-39.3090679084	-14.7630154884
-39.2584320992	-14.7250386209
> -L"Dykes"
-39.9420157658	-14.7208192577
-39.9377960755	-14.8052122484
> -L"Dykes"
-39.3638327663	-14.7747688516
-39.3810437296	-14.7569019205
> -L"Dykes"
-39.4145588587	-14.8729484335
-39.3589237694	-14.8083135326
> -L"Dykes"
-39.1790986474	-14.9163018524
-39.1170610082	-14.8898966711
-39.0958631196	-14.8935182628
> -L"Dykes"
-39.0958631196	-14.8935182628
-39.0568381812	-14.9001785833
-39.034805435	-14.9133982089
> -L"Dykes"
-39.2110138742	-14.9298829619
-39.1790986474	-14.9163018524
> -L"Dykes"
-39.8553351639	-14.9586741446
-39.8429528113	-15.036063571
> -L"Dykes"
-39.510933878	-15.1036770949
-39.4475520377	-15.0323751065
> -L"Dykes"
-39.3790653932	-15.1089057126
-39.3623587422	-15.1043486401
-39.3182932617	-15.1058174693
> -L"Dykes"
-39.4667464601	-15.1535628847
-39.4516430208	-15.1422353019
-39.4108307638	-15.1175682966
-39.3790653932	-15.1089057126
> -L"Dykes"
-39.3961079246	-15.1559287795
-39.341559614	-15.1463245277
> -L"Dykes"
-39.4916174425	-15.1895419023
-39.4739912576	-15.1748534109
-39.4446142758	-15.1645714594
-39.4034864981	-15.1572271996
-39.3961079246	-15.1559287795
> -L"Dykes"
-39.264319488	-15.2952634513
-39.2610080455	-15.2952988843
> -L"Dykes"
-43.6696265275	-18.2298900573
-43.6737818222	-18.2288611666
-43.6922671762	-18.2215086493
-43.6935260702	-18.2213453159
-43.6947863531	-18.2210105931
-43.6960477472	-18.220504203
-43.6971294183	-18.2199964239
-43.6983908124	-18.2194897561
-43.6996510953	-18.2191550332
-43.7009111005	-18.2188203104
-43.7021699944	-18.218656977
-43.7034313885	-18.2181505869
-43.7046902824	-18.2179872535
-43.7057719536	-18.2174794744
-43.70950558	-18.2161800271
-43.7184820058	-18.2130552979
-43.7208575711	-18.2122283516
-43.7273573202	-18.2094255671
-43.7326278976	-18.207152506
-43.7403582069	-18.2048325012
-43.7416171009	-18.2046691678
-43.742877106	-18.2043338894
-43.7441371111	-18.2039988888
-43.7455779504	-18.2034930543
-43.7468390667	-18.2029863864
-43.748100183	-18.2024794408
